NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2022-06-22;2022-06-28;Si;;;2070.6664;1202.8329;912;14745.2552;6140;5040;22.1727;156;3;30;277;635;297;599;2213;1828;5;13
CATALUNYA;GLOBAL;2022-06-22;2022-06-28;No;648.856;1.18968;545.4019;296.1789;23048;1020.2803;34376;45020;39.3335;1754;144;93;4173;18875;4328;14427;22007;25675;698;2566
CATALUNYA;GLOBAL;2022-06-21;2022-06-27;No;643.133;1.22392;525.4708;293.3646;22829;1011.9531;33633;45115;39.0459;1781;139;90;4137;18692;4247;14226;21648;25663;691;2590
CATALUNYA;GLOBAL;2022-06-21;2022-06-27;--;;;0.0000;0.0000;614;0.0000;2226;2204;12.7499;99;10;0;253;361;255;287;2121;2130;16;9
CATALUNYA;GLOBAL;2022-06-21;2022-06-27;Si;;;1932.1823;1121.0614;850;14196.5946;5849;4915;21.2631;154;3;28;249;601;262;573;2123;1804;7;15
CATALUNYA;GLOBAL;2022-06-20;2022-06-26;No;613.002;1.24423;492.6762;282.8015;22007;994.0909;32946;44412;38.1850;1738;137;88;4008;17999;4135;13563;21263;25085;700;2510
CATALUNYA;GLOBAL;2022-06-20;2022-06-26;--;;;0.0000;0.0000;588;0.0000;2149;2176;12.6655;93;10;0;251;337;253;273;2046;2107;17;11
CATALUNYA;GLOBAL;2022-06-20;2022-06-26;Si;;;1804.2494;983.8962;746;12956.8325;5348;4476;20.1576;137;3;27;223;523;236;506;2041;1640;9;12
CATALUNYA;GLOBAL;2022-06-19;2022-06-25;--;;;0.0000;0.0000;583;0.0000;2133;2163;12.6726;91;8;1;252;331;253;270;2030;2097;18;11
CATALUNYA;GLOBAL;2022-06-19;2022-06-25;Si;;;1766.0015;957.5183;726;13117.7378;5362;4584;19.6593;141;4;27;214;512;232;495;2050;1648;9;12
CATALUNYA;GLOBAL;2022-06-19;2022-06-25;No;608.848;1.27721;476.7030;273.6647;21296;972.4378;32293;43380;37.7681;1687;135;82;3876;17420;3985;13130;20850;24466;731;2521
CATALUNYA;GLOBAL;2022-06-18;2022-06-24;No;612.207;1.32667;461.4623;263.9369;20539;949.4353;31859;42024;37.2185;1704;132;81;3746;16793;3831;12614;20515;23670;678;2494
CATALUNYA;GLOBAL;2022-06-18;2022-06-24;--;;;0.0000;0.0000;587;0.0000;2095;2134;12.9238;89;7;1;259;328;260;266;2001;2069;14;12
CATALUNYA;GLOBAL;2022-06-18;2022-06-24;Si;;;1718.5212;910.0381;690;13066.3008;5444;4463;18.6843;131;3;30;213;477;230;463;2076;1633;9;11
CATALUNYA;GLOBAL;2022-06-17;2022-06-23;--;;;0.0000;0.0000;640;0.0000;2245;2395;12.9162;93;7;1;288;352;291;287;2148;2327;21;17
CATALUNYA;GLOBAL;2022-06-17;2022-06-23;Si;;;1719.8401;969.3884;735;14494.6650;6315;4675;17.6696;129;3;31;244;491;264;473;2455;1716;11;18
CATALUNYA;GLOBAL;2022-06-17;2022-06-23;No;636.366;1.36692;465.5488;274.7185;21378;1032.0385;35639;44672;35.8470;1711;139;77;3911;17467;4003;13319;22958;25364;838;3091
CATALUNYA;GLOBAL;2022-06-16;2022-06-22;No;602.915;1.34146;449.4471;264.6051;20591;1011.7989;35692;43044;34.8751;1641;128;73;3803;16788;3908;12642;23066;24389;903;3334
CATALUNYA;GLOBAL;2022-06-16;2022-06-22;--;;;0.0000;0.0000;635;0.0000;2220;2305;13.3516;88;5;1;299;336;303;281;2130;2244;27;19
CATALUNYA;GLOBAL;2022-06-16;2022-06-22;Si;;;1678.9543;925.8648;702;13928.8587;6188;4373;17.3217;129;2;28;243;459;251;441;2408;1587;10;16
CATALUNYA;GLOBAL;2022-06-15;2022-06-21;No;556.292;1.29203;430.5568;249.2230;19394;996.8795;36275;41300;33.0754;1604;117;70;3627;15767;3722;11796;23495;23422;876;3263
CATALUNYA;GLOBAL;2022-06-15;2022-06-21;--;;;0.0000;0.0000;627;0.0000;2151;2318;13.3782;88;7;1;305;322;311;266;2054;2259;33;20
